trt1	trt2	plot	site	sp	block	d	ba	bas	h	bc	rc	lc	bc.d	d.d	h.d	std	Bbr.y	Bbr	NPPaw0	NPPbr0	NPPst	Bbr.kg.m	Bbr.kg.m.cnp	brt	brt.cnp	d.cv	h.cv	lc.cv	res.cnp	col.r	bg.r	pch	ord	ord.trt	bg	col	lty	lwd	spe	ord.spe	lty.1	lwd.1	brtr	std2
1	0	0	0	hb	1	0	0.101712307576627	0.00836651162358142	10.2989386830014	11.2260333508403	2.75068093487395	0.806084065985044	8.47535241596639	0.835245667016807	0.0121084296218487	1.64251050420168	1244	508.213820326599	686.221186298588	929.914161757801	178.007365971989	751.906795785811	82.0011670221346	89.4780641414529	82.3554097428446	83.6543774167605	0.0270158532297646	0.0167025751320243	0.0208786339094243	0.0320115653644477	1	orchid1	21	13	33	orchid1	1	1	0.7	P. tremula × tremuloides	5	1	1.2	0.162048741000234	NA
2	A	C	1	dk	1	all	0.212717126022892	0.0355630553660378	37.5371936738578	18.8328399155893	12.4441131676934	0.35134333818811	6.44330699632724	0.732936121225102	0.00307068965517241	0.602114919781584	1056.10561056106	1488.47400559256	1581.90408810079	788.37194765715	93.4300825082335	694.941865148917	306.727938865302	348.784260448109	235.165807726752	258.429038699624	0.0610621689396519	0.0319021366571682	0.0595715604805352	-0.0771578957617695	1	darkolivegreen3	21	6	17	forestgreen	1	1	0.7	P. taeda	2	1	0.7	0.157991209012168	NA
3	A	C	1	dk	2	all	0.0732520712038013	0.00421622479166688	5.0461673593816	10.3448682989161	5.02727677658664	0.520425516781676	5.31759152232946	0.258231031934842	0.00169443727334194	0.359777918490172	1195.4528786212	247.573511505057	264.863834867089	110.732237478166	17.2903233620321	93.4419141161341	42.1539424796109	41.2824462373394	10.776279709409	10.0523385530363	0.0428495702295564	0.0370370677746668	0.0517338657854779	0.383852175102672	orange	white	21	23	54	white	orange	1	0.7	Hardwood	9	1	1	0.0435275956781384	2251.55848918225
4	A	C	5	dk	1	all	0.22952064233213	0.0414045927105514	50.1426852950147	20.2697503432883	14.8040191068142	0.28227273200602	5.4588919289393	0.750311331754993	0.00349810606060606	0.667037044082338	1211.67343923162	2041.56803226677	2165.79380195511	1040.49014944245	124.225769688334	916.264379754113	520.849158183063	568.244696427212	370.668963247809	402.3316548879	0.0373214348698926	0.0103763237370791	0.0337748709650034	-0.13028935797157	1	darkolivegreen3	21	6	17	forestgreen	1	1	0.7	P. taeda	2	1	0.7	0.181560916604014	NA
5	A	C	5	dk	2	all	0.0812186031236586	0.00518118724643811	2.48844428363151	11.4946976549078	4.77393083747879	0.59968004734157	6.72076681742902	0.28802004440692	0.0011485347985348	0.340958276373856	480.236424085704	135.820870464634	140.568754159414	40.5638827055658	4.74788369478032	35.8159990107855	18.1755185604261	17.8059397367407	5.19803033876226	4.76539600811985	0.071394457659342	0.0844242854371108	0.0880795397924142	1.25777994749377	orange	white	21	23	54	white	orange	1	0.7	Hardwood	9	1	1	0.0382712194449952	1691.90986331733
6	A	C	6	dk	1	all	0.207729782853191	0.0339213633437711	48.1344620193697	18.4353889219768	13.5228459929007	0.279219523918559	5.05158628252851	0.534967230147522	0.00270589740116056	0.449560649783583	1421.31979695431	1798.5086402681	1893.10653183477	842.27923530712	94.5978915666705	747.681343740449	518.975384303217	541.09342896821	274.441550270662	278.889900236148	0.0439354706111419	0.0159482439965247	0.040921353010111	-0.0130679782098996	1	darkolivegreen3	21	6	17	forestgreen	1	1	0.7	P. taeda	2	1	0.7	0.152593957085328	NA
7	A	C	6	dk	2	all	0.0708075111446521	0.00393845940545626	3.01794687790897	10.3147718520655	4.26338987940522	0.59326384551008	6.0513819726603	0.217911110353477	0.002015372489194	0.354809234324159	765.326044513862	131.971973417622	142.804409129818	77.0211992555853	10.8324357121961	66.1887635433892	18.100708283166	19.3758943715371	3.41336970565938	3.83398744234994	0.0474159234947251	0.0507198036750737	0.0674629828318256	0.832851071071242	orange	white	21	23	54	white	orange	1	0.7	Hardwood	9	1	1	0.0258643529930242	2186.64584146818
8	A	C	8	dk	1	all	0.19245500450813	0.029104846240209	43.4400690152373	18.6687850918951	13.9972198338049	0.265543557313577	4.6715652580902	0.653915126812356	0.00277058823529412	0.474085020050632	1492.53731343284	1467.2215113565	1557.74500677256	842.215717851718	90.5234954160607	751.692222435658	425.116600005783	469.920494113543	264.37906841275	274.401247447621	0.0463109033727284	0.0161285197716199	0.0386317974971017	-0.0576535589676621	1	darkolivegreen3	21	6	17	forestgreen	1	1	0.7	P. taeda	2	1	0.7	0.180190289173392	NA
9	A	C	8	dk	2	all	0.0890552256785682	0.006229686735115	6.78055127844995	11.011272550799	4.77313801885751	0.583723126348696	6.23813453194144	0.285309562444815	0.00186839497539497	0.374656569675153	1088.67427568042	370.281855334597	391.316457479166	150.988467972807	21.0346021445685	129.953865828239	44.872337426808	52.49427030444	11.0336030264118	14.0735064525254	0.0891887477114527	0.061259858957318	0.0780541937143769	0.131046674029925	orange	white	21	23	54	white	orange	1	0.7	Hardwood	9	1	1	0.0297978495771593	2581.21158911326
10	A	F	1	dk	1	all	0.219772660687728	0.0379769207148188	43.2572938228494	20.0372327264295	13.2432365999336	0.348142776320179	6.68239353943664	0.783574394810472	0.00469655172413793	0.627273249406252	1139.04163393559	1765.06060385195	1923.50126193788	1312.37928931042	158.440658085929	1153.93863122449	333.806154911203	399.412063918529	267.198545200742	316.01293034905	0.0602623261009494	0.0274603629273606	0.057577361711135	-0.178393225249239	1	darkolivegreen3	25	6	18	forestgreen	1	1	0.7	P. taeda	2	1	0.7	0.151382079809399	NA
